timestamp,namespace,pod,container,cpu(n),memory(Ki)
2025-04-08T17:06:13Z,linkerd,linkerd-destination-6f94bbc784-2ghb8,destination,1463168n,19392Ki
2025-04-08T17:06:13Z,linkerd,linkerd-destination-6f94bbc784-2ghb8,policy,376400n,4532Ki
2025-04-08T17:06:13Z,linkerd,linkerd-destination-6f94bbc784-2ghb8,linkerd-proxy,761344n,14312Ki
2025-04-08T17:06:13Z,linkerd,linkerd-destination-6f94bbc784-2ghb8,sp-validator,117206n,20240Ki
2025-04-08T17:06:13Z,linkerd,linkerd-identity-7dfb4f8788-28w6h,identity,185792n,17380Ki
2025-04-08T17:06:13Z,linkerd,linkerd-identity-7dfb4f8788-28w6h,linkerd-proxy,425994n,11952Ki
2025-04-08T17:06:13Z,linkerd,linkerd-proxy-injector-77db5c45cc-r44n7,proxy-injector,294253n,24748Ki
2025-04-08T17:06:13Z,linkerd,linkerd-proxy-injector-77db5c45cc-r44n7,linkerd-proxy,402856n,12092Ki
2025-04-08T17:06:13Z,service-mesh-benchmark,fortio-client-55d886f497-6xnx6,linkerd-proxy,210027n,108052Ki
2025-04-08T17:06:13Z,service-mesh-benchmark,fortio-server-65d8cc5978-nsd29,linkerd-proxy,311997n,44668Ki
2025-04-08T17:06:15Z,linkerd,linkerd-destination-6f94bbc784-2ghb8,destination,1463168n,19392Ki
2025-04-08T17:06:15Z,linkerd,linkerd-destination-6f94bbc784-2ghb8,policy,376400n,4532Ki
2025-04-08T17:06:15Z,linkerd,linkerd-destination-6f94bbc784-2ghb8,linkerd-proxy,761344n,14312Ki
2025-04-08T17:06:15Z,linkerd,linkerd-destination-6f94bbc784-2ghb8,sp-validator,117206n,20240Ki
2025-04-08T17:06:15Z,linkerd,linkerd-identity-7dfb4f8788-28w6h,identity,185792n,17380Ki
2025-04-08T17:06:15Z,linkerd,linkerd-identity-7dfb4f8788-28w6h,linkerd-proxy,425994n,11952Ki
2025-04-08T17:06:15Z,linkerd,linkerd-proxy-injector-77db5c45cc-r44n7,proxy-injector,294253n,24748Ki
2025-04-08T17:06:15Z,linkerd,linkerd-proxy-injector-77db5c45cc-r44n7,linkerd-proxy,402856n,12092Ki
2025-04-08T17:06:15Z,service-mesh-benchmark,fortio-client-55d886f497-6xnx6,linkerd-proxy,210027n,108052Ki
2025-04-08T17:06:15Z,service-mesh-benchmark,fortio-server-65d8cc5978-nsd29,linkerd-proxy,311997n,44668Ki
2025-04-08T17:06:16Z,linkerd,linkerd-destination-6f94bbc784-2ghb8,destination,1463168n,19392Ki
2025-04-08T17:06:16Z,linkerd,linkerd-destination-6f94bbc784-2ghb8,policy,376400n,4532Ki
2025-04-08T17:06:16Z,linkerd,linkerd-destination-6f94bbc784-2ghb8,linkerd-proxy,761344n,14312Ki
