timestamp,namespace,pod,container,cpu(n),memory(Ki)
2025-04-08T17:03:54Z,linkerd,linkerd-destination-6f94bbc784-2ghb8,destination,1417429n,19384Ki
2025-04-08T17:03:54Z,linkerd,linkerd-destination-6f94bbc784-2ghb8,policy,301202n,4540Ki
2025-04-08T17:03:54Z,linkerd,linkerd-destination-6f94bbc784-2ghb8,linkerd-proxy,767329n,14324Ki
2025-04-08T17:03:54Z,linkerd,linkerd-destination-6f94bbc784-2ghb8,sp-validator,108478n,20240Ki
2025-04-08T17:03:54Z,linkerd,linkerd-identity-7dfb4f8788-28w6h,identity,162915n,17380Ki
2025-04-08T17:03:54Z,linkerd,linkerd-identity-7dfb4f8788-28w6h,linkerd-proxy,427250n,11952Ki
2025-04-08T17:03:54Z,linkerd,linkerd-proxy-injector-77db5c45cc-r44n7,proxy-injector,367130n,24744Ki
2025-04-08T17:03:54Z,linkerd,linkerd-proxy-injector-77db5c45cc-r44n7,linkerd-proxy,456040n,12092Ki
2025-04-08T17:03:54Z,service-mesh-benchmark,fortio-client-55d886f497-6xnx6,linkerd-proxy,997678518n,115352Ki
2025-04-08T17:03:54Z,service-mesh-benchmark,fortio-server-65d8cc5978-nsd29,linkerd-proxy,523155998n,65896Ki
2025-04-08T17:03:55Z,linkerd,linkerd-destination-6f94bbc784-2ghb8,destination,1417429n,19384Ki
2025-04-08T17:03:55Z,linkerd,linkerd-destination-6f94bbc784-2ghb8,policy,301202n,4540Ki
2025-04-08T17:03:55Z,linkerd,linkerd-destination-6f94bbc784-2ghb8,linkerd-proxy,767329n,14324Ki
2025-04-08T17:03:55Z,linkerd,linkerd-destination-6f94bbc784-2ghb8,sp-validator,108478n,20240Ki
2025-04-08T17:03:55Z,linkerd,linkerd-identity-7dfb4f8788-28w6h,identity,162915n,17380Ki
2025-04-08T17:03:55Z,linkerd,linkerd-identity-7dfb4f8788-28w6h,linkerd-proxy,427250n,11952Ki
2025-04-08T17:03:55Z,linkerd,linkerd-proxy-injector-77db5c45cc-r44n7,proxy-injector,367130n,24744Ki
2025-04-08T17:03:55Z,linkerd,linkerd-proxy-injector-77db5c45cc-r44n7,linkerd-proxy,456040n,12092Ki
2025-04-08T17:03:55Z,service-mesh-benchmark,fortio-client-55d886f497-6xnx6,linkerd-proxy,997678518n,115352Ki
2025-04-08T17:03:55Z,service-mesh-benchmark,fortio-server-65d8cc5978-nsd29,linkerd-proxy,523155998n,65896Ki
2025-04-08T17:03:57Z,linkerd,linkerd-destination-6f94bbc784-2ghb8,destination,1417429n,19384Ki
2025-04-08T17:03:57Z,linkerd,linkerd-destination-6f94bbc784-2ghb8,policy,301202n,4540Ki
2025-04-08T17:03:57Z,linkerd,linkerd-destination-6f94bbc784-2ghb8,linkerd-proxy,767329n,14324Ki
2025-04-08T17:03:57Z,linkerd,linkerd-destination-6f94bbc784-2ghb8,sp-validator,108478n,20240Ki
2025-04-08T17:03:57Z,linkerd,linkerd-identity-7dfb4f8788-28w6h,identity,162915n,17380Ki
2025-04-08T17:03:57Z,linkerd,linkerd-identity-7dfb4f8788-28w6h,linkerd-proxy,427250n,11952Ki
2025-04-08T17:03:57Z,linkerd,linkerd-proxy-injector-77db5c45cc-r44n7,proxy-injector,367130n,24744Ki
2025-04-08T17:03:57Z,linkerd,linkerd-proxy-injector-77db5c45cc-r44n7,linkerd-proxy,456040n,12092Ki
2025-04-08T17:03:57Z,service-mesh-benchmark,fortio-client-55d886f497-6xnx6,linkerd-proxy,997678518n,115352Ki
2025-04-08T17:03:57Z,service-mesh-benchmark,fortio-server-65d8cc5978-nsd29,linkerd-proxy,523155998n,65896Ki
2025-04-08T17:03:58Z,linkerd,linkerd-destination-6f94bbc784-2ghb8,destination,1417429n,19384Ki
2025-04-08T17:03:58Z,linkerd,linkerd-destination-6f94bbc784-2ghb8,policy,301202n,4540Ki
2025-04-08T17:03:58Z,linkerd,linkerd-destination-6f94bbc784-2ghb8,linkerd-proxy,767329n,14324Ki
2025-04-08T17:03:58Z,linkerd,linkerd-destination-6f94bbc784-2ghb8,sp-validator,108478n,20240Ki
2025-04-08T17:03:58Z,linkerd,linkerd-identity-7dfb4f8788-28w6h,identity,162915n,17380Ki
2025-04-08T17:03:58Z,linkerd,linkerd-identity-7dfb4f8788-28w6h,linkerd-proxy,427250n,11952Ki
2025-04-08T17:03:58Z,linkerd,linkerd-proxy-injector-77db5c45cc-r44n7,proxy-injector,367130n,24744Ki
2025-04-08T17:03:58Z,linkerd,linkerd-proxy-injector-77db5c45cc-r44n7,linkerd-proxy,456040n,12092Ki
2025-04-08T17:03:58Z,service-mesh-benchmark,fortio-client-55d886f497-6xnx6,linkerd-proxy,997678518n,115352Ki
2025-04-08T17:03:58Z,service-mesh-benchmark,fortio-server-65d8cc5978-nsd29,linkerd-proxy,523155998n,65896Ki
2025-04-08T17:03:59Z,linkerd,linkerd-destination-6f94bbc784-2ghb8,destination,1417429n,19384Ki
2025-04-08T17:03:59Z,linkerd,linkerd-destination-6f94bbc784-2ghb8,policy,301202n,4540Ki
