timestamp,namespace,pod,container,cpu(n),memory(Ki)
2025-04-08T16:48:09Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2371118n,61012Ki
2025-04-08T16:48:09Z,istio-system,ztunnel-42djx,istio-proxy,88922453n,56484Ki
2025-04-08T16:48:09Z,istio-system,ztunnel-jmfmq,istio-proxy,48573n,1676Ki
2025-04-08T16:48:09Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,210120424n,228320Ki
2025-04-08T16:48:11Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2371118n,61012Ki
2025-04-08T16:48:11Z,istio-system,ztunnel-42djx,istio-proxy,88922453n,56484Ki
2025-04-08T16:48:11Z,istio-system,ztunnel-jmfmq,istio-proxy,48573n,1676Ki
2025-04-08T16:48:11Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,210120424n,228320Ki
2025-04-08T16:48:12Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2371118n,61012Ki
2025-04-08T16:48:12Z,istio-system,ztunnel-42djx,istio-proxy,88922453n,56484Ki
2025-04-08T16:48:12Z,istio-system,ztunnel-jmfmq,istio-proxy,48573n,1676Ki
2025-04-08T16:48:12Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,210120424n,228320Ki
2025-04-08T16:48:13Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2371118n,61012Ki
2025-04-08T16:48:13Z,istio-system,ztunnel-42djx,istio-proxy,88922453n,56484Ki
2025-04-08T16:48:13Z,istio-system,ztunnel-jmfmq,istio-proxy,48573n,1676Ki
2025-04-08T16:48:13Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,210120424n,228320Ki
2025-04-08T16:48:14Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2371118n,61012Ki
2025-04-08T16:48:14Z,istio-system,ztunnel-42djx,istio-proxy,88922453n,56484Ki
2025-04-08T16:48:14Z,istio-system,ztunnel-jmfmq,istio-proxy,48573n,1676Ki
2025-04-08T16:48:14Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,210120424n,228320Ki
2025-04-08T16:48:15Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2371118n,61012Ki
2025-04-08T16:48:15Z,istio-system,ztunnel-42djx,istio-proxy,88922453n,56484Ki
2025-04-08T16:48:15Z,istio-system,ztunnel-jmfmq,istio-proxy,48573n,1676Ki
2025-04-08T16:48:15Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,210120424n,228320Ki
2025-04-08T16:48:17Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2371118n,61012Ki
2025-04-08T16:48:17Z,istio-system,ztunnel-42djx,istio-proxy,88922453n,56484Ki
2025-04-08T16:48:17Z,istio-system,ztunnel-jmfmq,istio-proxy,48573n,1676Ki
2025-04-08T16:48:17Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,210120424n,228320Ki
2025-04-08T16:48:18Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2371118n,61012Ki
2025-04-08T16:48:18Z,istio-system,ztunnel-42djx,istio-proxy,88922453n,56484Ki
2025-04-08T16:48:18Z,istio-system,ztunnel-jmfmq,istio-proxy,48573n,1676Ki
2025-04-08T16:48:18Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,210120424n,228320Ki
2025-04-08T16:48:19Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2371118n,61012Ki
2025-04-08T16:48:19Z,istio-system,ztunnel-42djx,istio-proxy,88922453n,56484Ki
2025-04-08T16:48:19Z,istio-system,ztunnel-jmfmq,istio-proxy,48573n,1676Ki
2025-04-08T16:48:19Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,210120424n,228320Ki
2025-04-08T16:48:20Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2371118n,61012Ki
2025-04-08T16:48:20Z,istio-system,ztunnel-42djx,istio-proxy,88922453n,56484Ki
2025-04-08T16:48:20Z,istio-system,ztunnel-jmfmq,istio-proxy,48573n,1676Ki
2025-04-08T16:48:20Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,210120424n,228320Ki
2025-04-08T16:48:21Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2371118n,61012Ki
2025-04-08T16:48:21Z,istio-system,ztunnel-42djx,istio-proxy,88922453n,56484Ki
2025-04-08T16:48:21Z,istio-system,ztunnel-jmfmq,istio-proxy,48573n,1676Ki
2025-04-08T16:48:21Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,210120424n,228320Ki
2025-04-08T16:48:23Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2371118n,61012Ki
2025-04-08T16:48:23Z,istio-system,ztunnel-42djx,istio-proxy,88922453n,56484Ki
2025-04-08T16:48:23Z,istio-system,ztunnel-jmfmq,istio-proxy,48573n,1676Ki
2025-04-08T16:48:23Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,210120424n,228320Ki
2025-04-08T16:48:24Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2371118n,61012Ki
2025-04-08T16:48:24Z,istio-system,ztunnel-42djx,istio-proxy,88922453n,56484Ki
2025-04-08T16:48:24Z,istio-system,ztunnel-jmfmq,istio-proxy,48573n,1676Ki
2025-04-08T16:48:24Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,210120424n,228320Ki
2025-04-08T16:48:25Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2371118n,61012Ki
2025-04-08T16:48:25Z,istio-system,ztunnel-42djx,istio-proxy,88922453n,56484Ki
2025-04-08T16:48:25Z,istio-system,ztunnel-jmfmq,istio-proxy,48573n,1676Ki
2025-04-08T16:48:25Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,210120424n,228320Ki
2025-04-08T16:48:26Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2371118n,61012Ki
