timestamp,namespace,pod,container,cpu(n),memory(Ki)
2025-04-11T05:01:23Z,istio-system,ztunnel-42djx,istio-proxy,2653427n,183520Ki
2025-04-11T05:01:23Z,istio-system,ztunnel-jmfmq,istio-proxy,79175n,1840Ki
2025-04-11T05:01:25Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1824871n,66484Ki
2025-04-11T05:01:25Z,istio-system,ztunnel-42djx,istio-proxy,2653427n,183520Ki
2025-04-11T05:01:25Z,istio-system,ztunnel-jmfmq,istio-proxy,79175n,1840Ki
2025-04-11T05:01:26Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1824871n,66484Ki
2025-04-11T05:01:26Z,istio-system,ztunnel-42djx,istio-proxy,2566082n,183456Ki
2025-04-11T05:01:26Z,istio-system,ztunnel-jmfmq,istio-proxy,79175n,1840Ki
2025-04-11T05:01:27Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1824871n,66484Ki
2025-04-11T05:01:27Z,istio-system,ztunnel-42djx,istio-proxy,2566082n,183456Ki
2025-04-11T05:01:27Z,istio-system,ztunnel-jmfmq,istio-proxy,79175n,1840Ki
2025-04-11T05:01:28Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1824871n,66484Ki
2025-04-11T05:01:28Z,istio-system,ztunnel-42djx,istio-proxy,2653427n,183520Ki
2025-04-11T05:01:28Z,istio-system,ztunnel-jmfmq,istio-proxy,79175n,1840Ki
2025-04-11T05:01:30Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1824871n,66484Ki
2025-04-11T05:01:30Z,istio-system,ztunnel-42djx,istio-proxy,2566082n,183456Ki
2025-04-11T05:01:30Z,istio-system,ztunnel-jmfmq,istio-proxy,79175n,1840Ki
2025-04-11T05:01:31Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1824871n,66484Ki
2025-04-11T05:01:31Z,istio-system,ztunnel-42djx,istio-proxy,2566082n,183456Ki
2025-04-11T05:01:31Z,istio-system,ztunnel-jmfmq,istio-proxy,79175n,1840Ki
2025-04-11T05:01:32Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1824871n,66484Ki
2025-04-11T05:01:32Z,istio-system,ztunnel-42djx,istio-proxy,2566082n,183456Ki
2025-04-11T05:01:32Z,istio-system,ztunnel-jmfmq,istio-proxy,79175n,1840Ki
2025-04-11T05:01:33Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1824871n,66484Ki
2025-04-11T05:01:33Z,istio-system,ztunnel-42djx,istio-proxy,2653427n,183520Ki
2025-04-11T05:01:33Z,istio-system,ztunnel-jmfmq,istio-proxy,79175n,1840Ki
2025-04-11T05:01:34Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1824871n,66484Ki
2025-04-11T05:01:34Z,istio-system,ztunnel-42djx,istio-proxy,2566082n,183456Ki
2025-04-11T05:01:34Z,istio-system,ztunnel-jmfmq,istio-proxy,79175n,1840Ki
2025-04-11T05:01:36Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1824871n,66484Ki
2025-04-11T05:01:36Z,istio-system,ztunnel-42djx,istio-proxy,2566082n,183456Ki
2025-04-11T05:01:36Z,istio-system,ztunnel-jmfmq,istio-proxy,79175n,1840Ki
2025-04-11T05:01:37Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1824871n,66484Ki
2025-04-11T05:01:37Z,istio-system,ztunnel-42djx,istio-proxy,2566082n,183456Ki
2025-04-11T05:01:37Z,istio-system,ztunnel-jmfmq,istio-proxy,79175n,1840Ki
2025-04-11T05:01:38Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1824871n,66484Ki
2025-04-11T05:01:38Z,istio-system,ztunnel-42djx,istio-proxy,2566082n,183456Ki
2025-04-11T05:01:38Z,istio-system,ztunnel-jmfmq,istio-proxy,79175n,1840Ki
2025-04-11T05:01:40Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1824871n,66484Ki
2025-04-11T05:01:40Z,istio-system,ztunnel-42djx,istio-proxy,2566082n,183456Ki
2025-04-11T05:01:40Z,istio-system,ztunnel-jmfmq,istio-proxy,79175n,1840Ki
2025-04-11T05:01:41Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1824871n,66484Ki
2025-04-11T05:01:41Z,istio-system,ztunnel-42djx,istio-proxy,2566082n,183456Ki
2025-04-11T05:01:41Z,istio-system,ztunnel-jmfmq,istio-proxy,79175n,1840Ki
2025-04-11T05:01:42Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1824871n,66484Ki
2025-04-11T05:01:42Z,istio-system,ztunnel-42djx,istio-proxy,2566082n,183456Ki
2025-04-11T05:01:42Z,istio-system,ztunnel-jmfmq,istio-proxy,79175n,1840Ki
2025-04-11T05:01:43Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1824871n,66484Ki
2025-04-11T05:01:43Z,istio-system,ztunnel-42djx,istio-proxy,2566082n,183456Ki
2025-04-11T05:01:43Z,istio-system,ztunnel-jmfmq,istio-proxy,79175n,1840Ki
2025-04-11T05:01:45Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1824871n,66484Ki
2025-04-11T05:01:45Z,istio-system,ztunnel-42djx,istio-proxy,2653427n,183520Ki
2025-04-11T05:01:45Z,istio-system,ztunnel-jmfmq,istio-proxy,79175n,1840Ki
2025-04-11T05:01:46Z,istio-system,istiod-76fc5bc774-n76zc,discovery,1824871n,66484Ki
2025-04-11T05:01:46Z,istio-system,ztunnel-42djx,istio-proxy,2653427n,183520Ki
2025-04-11T05:01:46Z,istio-system,ztunnel-jmfmq,istio-proxy,79175n,1840Ki
2025-04-11T05:01:47Z,istio-system,istiod-76fc5bc774-n76zc,discovery,6464510n,66476Ki
2025-04-11T05:01:47Z,istio-system,ztunnel-42djx,istio-proxy,493131038n,186104Ki
2025-04-11T05:01:47Z,istio-system,ztunnel-jmfmq,istio-proxy,91392n,1840Ki
2025-04-11T05:01:47Z,service-mesh-benchmark,waypoint-855dfcf87c-fzkwv,istio-proxy,1396071224n,63088Ki
2025-04-11T05:01:49Z,istio-system,istiod-76fc5bc774-n76zc,discovery,5506147n,66472Ki
2025-04-11T05:01:49Z,istio-system,ztunnel-42djx,istio-proxy,681571570n,186104Ki
2025-04-11T05:01:49Z,istio-system,ztunnel-jmfmq,istio-proxy,91392n,1840Ki
2025-04-11T05:01:49Z,service-mesh-benchmark,waypoint-855dfcf87c-fzkwv,istio-proxy,1396071224n,63088Ki
2025-04-11T05:01:50Z,istio-system,istiod-76fc5bc774-n76zc,discovery,5506147n,66472Ki
2025-04-11T05:01:50Z,istio-system,ztunnel-42djx,istio-proxy,681571570n,186104Ki
2025-04-11T05:01:50Z,istio-system,ztunnel-jmfmq,istio-proxy,91392n,1840Ki
2025-04-11T05:01:50Z,service-mesh-benchmark,waypoint-855dfcf87c-fzkwv,istio-proxy,1396071224n,63088Ki
2025-04-11T05:01:51Z,istio-system,istiod-76fc5bc774-n76zc,discovery,6464510n,66476Ki
2025-04-11T05:01:51Z,istio-system,ztunnel-42djx,istio-proxy,493131038n,186104Ki
2025-04-11T05:01:51Z,istio-system,ztunnel-jmfmq,istio-proxy,91392n,1840Ki
2025-04-11T05:01:51Z,service-mesh-benchmark,waypoint-855dfcf87c-fzkwv,istio-proxy,1396071224n,63088Ki
2025-04-11T05:01:53Z,istio-system,istiod-76fc5bc774-n76zc,discovery,6464510n,66476Ki
2025-04-11T05:01:53Z,istio-system,ztunnel-42djx,istio-proxy,493131038n,186104Ki
