timestamp,namespace,pod,container,cpu(n),memory(Ki)
2025-04-08T04:16:57Z,linkerd,linkerd-destination-79d95c556-z2mvn,destination,1225177n,21864Ki
2025-04-08T04:16:57Z,linkerd,linkerd-destination-79d95c556-z2mvn,policy,259666n,3980Ki
2025-04-08T04:16:57Z,linkerd,linkerd-destination-79d95c556-z2mvn,linkerd-proxy,672704n,12592Ki
2025-04-08T04:16:57Z,linkerd,linkerd-destination-79d95c556-z2mvn,sp-validator,103252n,15304Ki
2025-04-08T04:16:57Z,linkerd,linkerd-identity-8695ff89dc-6pq28,identity,191165n,15872Ki
2025-04-08T04:16:57Z,linkerd,linkerd-identity-8695ff89dc-6pq28,linkerd-proxy,393138n,11812Ki
2025-04-08T04:16:57Z,linkerd,linkerd-proxy-injector-5b4cfffbb6-9bjxj,proxy-injector,311233n,21792Ki
2025-04-08T04:16:57Z,linkerd,linkerd-proxy-injector-5b4cfffbb6-9bjxj,linkerd-proxy,358104n,11784Ki
2025-04-08T04:16:57Z,service-mesh-benchmark,fortio-server-5c7c9c9dc-82tv2,linkerd-proxy,389872546n,27652Ki
2025-04-08T04:16:58Z,linkerd,linkerd-destination-79d95c556-z2mvn,destination,1225177n,21864Ki
2025-04-08T04:16:58Z,linkerd,linkerd-destination-79d95c556-z2mvn,policy,259666n,3980Ki
2025-04-08T04:16:58Z,linkerd,linkerd-destination-79d95c556-z2mvn,linkerd-proxy,672704n,12592Ki
2025-04-08T04:16:58Z,linkerd,linkerd-destination-79d95c556-z2mvn,sp-validator,103252n,15304Ki
2025-04-08T04:16:58Z,linkerd,linkerd-identity-8695ff89dc-6pq28,identity,191165n,15872Ki
2025-04-08T04:16:58Z,linkerd,linkerd-identity-8695ff89dc-6pq28,linkerd-proxy,393138n,11812Ki
2025-04-08T04:16:58Z,linkerd,linkerd-proxy-injector-5b4cfffbb6-9bjxj,proxy-injector,311233n,21792Ki
2025-04-08T04:16:58Z,linkerd,linkerd-proxy-injector-5b4cfffbb6-9bjxj,linkerd-proxy,358104n,11784Ki
2025-04-08T04:16:58Z,service-mesh-benchmark,fortio-server-5c7c9c9dc-82tv2,linkerd-proxy,389872546n,27652Ki
2025-04-08T04:17:00Z,linkerd,linkerd-destination-79d95c556-z2mvn,destination,1225177n,21864Ki
2025-04-08T04:17:00Z,linkerd,linkerd-destination-79d95c556-z2mvn,policy,259666n,3980Ki
2025-04-08T04:17:00Z,linkerd,linkerd-destination-79d95c556-z2mvn,linkerd-proxy,672704n,12592Ki
2025-04-08T04:17:00Z,linkerd,linkerd-destination-79d95c556-z2mvn,sp-validator,103252n,15304Ki
2025-04-08T04:17:00Z,linkerd,linkerd-identity-8695ff89dc-6pq28,identity,191165n,15872Ki
2025-04-08T04:17:00Z,linkerd,linkerd-identity-8695ff89dc-6pq28,linkerd-proxy,393138n,11812Ki
2025-04-08T04:17:00Z,linkerd,linkerd-proxy-injector-5b4cfffbb6-9bjxj,proxy-injector,311233n,21792Ki
2025-04-08T04:17:00Z,linkerd,linkerd-proxy-injector-5b4cfffbb6-9bjxj,linkerd-proxy,358104n,11784Ki
2025-04-08T04:17:00Z,service-mesh-benchmark,fortio-server-5c7c9c9dc-82tv2,linkerd-proxy,389872546n,27652Ki
2025-04-08T04:17:01Z,linkerd,linkerd-destination-79d95c556-z2mvn,destination,1420952n,21864Ki
2025-04-08T04:17:01Z,linkerd,linkerd-destination-79d95c556-z2mvn,policy,254880n,3984Ki
2025-04-08T04:17:01Z,linkerd,linkerd-destination-79d95c556-z2mvn,linkerd-proxy,630297n,12584Ki
2025-04-08T04:17:01Z,linkerd,linkerd-destination-79d95c556-z2mvn,sp-validator,166149n,15304Ki
2025-04-08T04:17:01Z,linkerd,linkerd-identity-8695ff89dc-6pq28,identity,135607n,15872Ki
2025-04-08T04:17:01Z,linkerd,linkerd-identity-8695ff89dc-6pq28,linkerd-proxy,405170n,11940Ki
2025-04-08T04:17:01Z,linkerd,linkerd-proxy-injector-5b4cfffbb6-9bjxj,proxy-injector,186844n,21788Ki
2025-04-08T04:17:01Z,linkerd,linkerd-proxy-injector-5b4cfffbb6-9bjxj,linkerd-proxy,329537n,11784Ki
2025-04-08T04:17:01Z,service-mesh-benchmark,fortio-server-5c7c9c9dc-82tv2,linkerd-proxy,15229764n,27580Ki
2025-04-08T04:17:02Z,linkerd,linkerd-destination-79d95c556-z2mvn,destination,1420952n,21864Ki
2025-04-08T04:17:02Z,linkerd,linkerd-destination-79d95c556-z2mvn,policy,254880n,3984Ki
2025-04-08T04:17:02Z,linkerd,linkerd-destination-79d95c556-z2mvn,linkerd-proxy,630297n,12584Ki
2025-04-08T04:17:02Z,linkerd,linkerd-destination-79d95c556-z2mvn,sp-validator,166149n,15304Ki
2025-04-08T04:17:02Z,linkerd,linkerd-identity-8695ff89dc-6pq28,identity,135607n,15872Ki
2025-04-08T04:17:02Z,linkerd,linkerd-identity-8695ff89dc-6pq28,linkerd-proxy,405170n,11940Ki
2025-04-08T04:17:02Z,linkerd,linkerd-proxy-injector-5b4cfffbb6-9bjxj,proxy-injector,186844n,21788Ki
2025-04-08T04:17:02Z,linkerd,linkerd-proxy-injector-5b4cfffbb6-9bjxj,linkerd-proxy,329537n,11784Ki
