timestamp,namespace,pod,container,cpu(n),memory(Ki)
2025-04-08T16:54:30Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2853847n,61156Ki
2025-04-08T16:54:30Z,istio-system,ztunnel-42djx,istio-proxy,843132672n,79136Ki
2025-04-08T16:54:30Z,istio-system,ztunnel-jmfmq,istio-proxy,53284n,1676Ki
2025-04-08T16:54:30Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,1996120641n,234576Ki
2025-04-08T16:54:32Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2853847n,61156Ki
2025-04-08T16:54:32Z,istio-system,ztunnel-42djx,istio-proxy,843132672n,79136Ki
2025-04-08T16:54:32Z,istio-system,ztunnel-jmfmq,istio-proxy,53284n,1676Ki
2025-04-08T16:54:32Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,1996120641n,234576Ki
2025-04-08T16:54:33Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2853847n,61156Ki
2025-04-08T16:54:33Z,istio-system,ztunnel-42djx,istio-proxy,843132672n,79136Ki
2025-04-08T16:54:33Z,istio-system,ztunnel-jmfmq,istio-proxy,53284n,1676Ki
2025-04-08T16:54:33Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,1995780211n,233824Ki
2025-04-08T16:54:34Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2853847n,61156Ki
2025-04-08T16:54:34Z,istio-system,ztunnel-42djx,istio-proxy,843132672n,79136Ki
2025-04-08T16:54:34Z,istio-system,ztunnel-jmfmq,istio-proxy,53284n,1676Ki
2025-04-08T16:54:34Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,1995780211n,233824Ki
2025-04-08T16:54:35Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2853847n,61156Ki
2025-04-08T16:54:35Z,istio-system,ztunnel-42djx,istio-proxy,843132672n,79136Ki
2025-04-08T16:54:35Z,istio-system,ztunnel-jmfmq,istio-proxy,53284n,1676Ki
2025-04-08T16:54:35Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,1996120641n,234576Ki
2025-04-08T16:54:36Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2853847n,61156Ki
2025-04-08T16:54:36Z,istio-system,ztunnel-42djx,istio-proxy,843132672n,79136Ki
2025-04-08T16:54:36Z,istio-system,ztunnel-jmfmq,istio-proxy,53284n,1676Ki
2025-04-08T16:54:36Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,1996120641n,234576Ki
2025-04-08T16:54:38Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2853847n,61156Ki
2025-04-08T16:54:38Z,istio-system,ztunnel-42djx,istio-proxy,843132672n,79136Ki
2025-04-08T16:54:38Z,istio-system,ztunnel-jmfmq,istio-proxy,53284n,1676Ki
2025-04-08T16:54:38Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,1995780211n,233824Ki
2025-04-08T16:54:39Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2853847n,61156Ki
2025-04-08T16:54:39Z,istio-system,ztunnel-42djx,istio-proxy,843132672n,79136Ki
2025-04-08T16:54:39Z,istio-system,ztunnel-jmfmq,istio-proxy,53284n,1676Ki
2025-04-08T16:54:39Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,1996120641n,234576Ki
2025-04-08T16:54:40Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2853847n,61156Ki
2025-04-08T16:54:40Z,istio-system,ztunnel-42djx,istio-proxy,843132672n,79136Ki
2025-04-08T16:54:40Z,istio-system,ztunnel-jmfmq,istio-proxy,53284n,1676Ki
2025-04-08T16:54:40Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,1995780211n,233824Ki
2025-04-08T16:54:41Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2853847n,61156Ki
2025-04-08T16:54:41Z,istio-system,ztunnel-42djx,istio-proxy,843132672n,79136Ki
2025-04-08T16:54:41Z,istio-system,ztunnel-jmfmq,istio-proxy,53284n,1676Ki
2025-04-08T16:54:41Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,1995780211n,233824Ki
2025-04-08T16:54:42Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2853847n,61156Ki
2025-04-08T16:54:42Z,istio-system,ztunnel-42djx,istio-proxy,843132672n,79136Ki
2025-04-08T16:54:42Z,istio-system,ztunnel-jmfmq,istio-proxy,53284n,1676Ki
2025-04-08T16:54:42Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,1996120641n,234576Ki
2025-04-08T16:54:44Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2853847n,61156Ki
2025-04-08T16:54:44Z,istio-system,ztunnel-42djx,istio-proxy,843132672n,79136Ki
2025-04-08T16:54:44Z,istio-system,ztunnel-jmfmq,istio-proxy,53284n,1676Ki
2025-04-08T16:54:44Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,1996120641n,234576Ki
2025-04-08T16:54:45Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2853847n,61156Ki
2025-04-08T16:54:45Z,istio-system,ztunnel-42djx,istio-proxy,843132672n,79136Ki
2025-04-08T16:54:45Z,istio-system,ztunnel-jmfmq,istio-proxy,53284n,1676Ki
2025-04-08T16:54:45Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,1996120641n,234576Ki
2025-04-08T16:54:46Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2853847n,61156Ki
2025-04-08T16:54:46Z,istio-system,ztunnel-42djx,istio-proxy,843132672n,79136Ki
2025-04-08T16:54:46Z,istio-system,ztunnel-jmfmq,istio-proxy,53284n,1676Ki
2025-04-08T16:54:46Z,service-mesh-benchmark,waypoint-855dfcf87c-bdgvn,istio-proxy,1995780211n,233824Ki
2025-04-08T16:54:47Z,istio-system,istiod-76fc5bc774-n76zc,discovery,2215842n,61176Ki
2025-04-08T16:54:47Z,istio-system,ztunnel-42djx,istio-proxy,629058959n,64872Ki
2025-04-08T16:54:47Z,istio-system,ztunnel-jmfmq,istio-proxy,45968n,1676Ki
