timestamp,group,namespace,pod,container,cpu(n),memory(Ki)
2025-05-18T11:47:18Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1438600n,51424Ki
2025-05-18T11:47:18Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,32884n,3656Ki
2025-05-18T11:47:18Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,205994586n,8408Ki
2025-05-18T11:47:18Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,573342249n,45048Ki
2025-05-18T11:47:19Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1438600n,51424Ki
2025-05-18T11:47:19Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,32884n,3656Ki
2025-05-18T11:47:19Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,205994586n,8408Ki
2025-05-18T11:47:19Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,573342249n,45048Ki
2025-05-18T11:47:20Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1438600n,51424Ki
2025-05-18T11:47:20Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,32884n,3656Ki
2025-05-18T11:47:20Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,205994586n,8408Ki
2025-05-18T11:47:20Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,573342249n,45048Ki
2025-05-18T11:47:22Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1438600n,51424Ki
2025-05-18T11:47:22Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,32884n,3656Ki
2025-05-18T11:47:22Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,205994586n,8408Ki
2025-05-18T11:47:22Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,573342249n,45048Ki
2025-05-18T11:47:23Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1438600n,51424Ki
2025-05-18T11:47:23Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,32884n,3656Ki
2025-05-18T11:47:23Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,205994586n,8408Ki
2025-05-18T11:47:23Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,573342249n,45048Ki
2025-05-18T11:47:24Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1438600n,51424Ki
2025-05-18T11:47:24Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,32884n,3656Ki
2025-05-18T11:47:24Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,205994586n,8408Ki
2025-05-18T11:47:24Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,573342249n,45048Ki
2025-05-18T11:47:25Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1438600n,51424Ki
2025-05-18T11:47:25Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,32884n,3656Ki
2025-05-18T11:47:25Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,205994586n,8408Ki
2025-05-18T11:47:25Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,573342249n,45048Ki
2025-05-18T11:47:27Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1438600n,51424Ki
2025-05-18T11:47:27Z,data-plane,istio-system,ztunnel-h6p9j,istio-proxy,32884n,3656Ki
2025-05-18T11:47:27Z,data-plane,istio-system,ztunnel-nzsvg,istio-proxy,205994586n,8408Ki
2025-05-18T11:47:27Z,data-plane,service-mesh-benchmark,waypoint-69787cd8f5-z4mt7,istio-proxy,573342249n,45048Ki
2025-05-18T11:47:28Z,control-plane,istio-system,istiod-76fc5bc774-hrwz5,discovery,1438600n,51424Ki
